id,Temperature,RelativeHumidity
02-jul,16.5529534587104,81.8089073318163
03-jul,13.6393848525114,71.3995599789572
04-jul,16.2151145825421,61.1677392991818
05-jul,16.2603275380133,73.2033288448841
06-jul,12.5391590695575,87.8224383138512
07-jul,16.5546700262406,82.1731093215151
08-jul,17.9939810220196,88.0451664179693
09-jul,21.4399495747954,72.5022544515081
10-jul,24.435250678394,64.5186640282404
11-jul,26.4487334144925,59.1499145204764
12-jul,23.2861235928643,65.4465326889196
13-jul,21.3871119694901,68.9494968045002
14-jul,18.02183576467,72.4666348636428
15-jul,16.9116121190693,64.6202601412577
16-jul,20.3576801464506,60.3649611062676
17-jul,17.346472663192,81.9833470186364
18-jul,15.4404719804527,65.6049747355767
19-jul,14.7237377652566,78.2325633610748
20-jul,16.4035781863722,87.5239750690133
21-jul,19.407903796923,83.313320961885
22-jul,17.5007759394329,80.3159896785777
23-jul,16.0402235067813,93.2323250539883
24-jul,20.9363280365993,66.7204934113567
25-jul,16.4974699415349,70.242671137681
26-jul,15.8213626237157,67.2703352791403
27-jul,15.9439347306607,77.5772727263263
28-jul,17.4898161025994,79.3451355006683
29-jul,14.5944973245648,89.7619044748297
30-jul,14.6438702156212,91.3330322298446
31-jul,15.050609167653,88.1036287493039
01-aug,17.6798728553345,92.4210535072873
02-aug,17.306426031912,97.6896485690541
03-aug,16.5612491717482,97.4742611860621
04-aug,14.1715070723032,90.3188949934025
05-aug,16.4746826035338,67.0856311916439
06-aug,15.2470324367308,82.7407222281363
07-aug,19.5453918066771,58.7253001232157
08-aug,20.0269132527243,73.1937817941713
09-aug,19.5737009449947,78.4702147840728
10-aug,21.6189728299481,59.1755959475298
11-aug,17.2383965859947,72.5020787864591
12-aug,16.6984256764751,73.4259597156535
13-aug,15.9536209394254,72.5043153752135
14-aug,16.6640332405175,73.2385505981677
15-aug,19.4693163320991,78.4704216615705
16-aug,19.9501180277053,70.669798337145
17-aug,15.4440292718467,94.9861325162951
18-aug,17.81422749789,68.6364348988822
19-aug,15.4372370098053,74.6807816017076
20-aug,19.1380939712363,67.8417180493603
21-aug,18.7173114984003,89.9524118115547
22-aug,17.1518090564993,58.1338745136568
23-aug,16.3844463199509,88.2894356056103
24-aug,14.8741956662997,66.2325608165624
25-aug,13.5152668926596,72.003459532567
26-aug,14.3066536414775,77.9704367170571
27-aug,17.1039518899658,71.1060443658958
28-aug,17.5396694254281,95.0166917927641
29-aug,17.6651634987797,59.2317349451824
30-aug,16.1384082676604,91.0359324056594
31-aug,16.2948755469241,82.2264137111959
01-sep,16.4857186315274,64.7590019496464
02-sep,18.8018597368395,62.6339886763303
03-sep,20.0998598569942,68.0396940017593
04-sep,20.4370463723877,76.2747896654882
05-sep,20.9124297071945,60.5718721939949
06-sep,18.0116376835271,72.4802211936273
07-sep,16.311248583027,93.8519651971793
08-sep,16.4506417931347,94.5727585532092
09-sep,12.8737334294627,93.083875623296
10-sep,15.5702944497962,82.0639723842852
11-sep,17.2624870127468,69.5261696978809
12-sep,15.9310288806365,76.6829452590413
13-sep,18.1712031030342,76.0980166724097
14-sep,4.17853826859959,94.6061834051751
15-sep,13.9132240077239,88.2846514548368
16-sep,12.2565815528264,63.0083647665075
17-sep,13.6971748054366,75.6683733325122
18-sep,14.8978473367273,67.4873820492754
19-sep,15.3071490525532,93.2530270242164
20-sep,15.038673086578,78.0030930964921
21-sep,16.7104031678124,91.9097512026896
22-sep,18.0025861240645,83.9817957503244
23-sep,12.9346159454243,62.36449068026
24-sep,11.4562496817122,87.3778637169282
25-sep,13.1978493309416,82.8826249182567
26-sep,14.3721074672012,91.9619957649556
27-sep,12.4917816234791,68.7272876195698
28-sep,12.2927276790776,83.4410703898985
29-sep,12.2371511294585,88.620595958808
30-sep,14.2136678097534,71.2686955959131
01-oct,12.0173930270348,76.6795117314539
02-oct,13.3330178435062,71.776668254147
03-oct,12.6707728184662,83.2681291195277
04-oct,13.2610239581745,69.8613973186136
05-oct,13.2070874279304,79.1844065077127
06-oct,13.9956631190349,76.4545199303981
07-oct,15.6768411365554,74.8164147917145
08-oct,10.8182214081347,72.9861350552857
09-oct,12.4323112144838,82.0547234166507
10-oct,10.0434308259452,95.9204430159575
11-oct,9.83057458572908,85.1188296701973
12-oct,10.3638037460503,82.2053172342549
13-oct,12.7494113600784,66.5441545478469
14-oct,12.6495277223,73.4520941429113
15-oct,16.3327573697574,81.8880280071664
16-oct,15.5856441731962,87.4565382253083
17-oct,14.6299566975304,88.4849033513213
18-oct,12.729019290229,93.0159793831042
19-oct,11.1318423205321,89.2000228900672
20-oct,11.7288627115389,81.3434629844166
21-oct,11.6213667394339,87.9988132214323
22-oct,11.5399661966251,86.110058112103
23-oct,11.7353427591793,88.1018313877327
24-oct,14.3370358469353,93.2739654754264
25-oct,12.2124192960719,79.2831397351097
26-oct,16.4411154089073,91.1104144543091
27-oct,16.2617318791799,82.1602287787938
28-oct,12.5515831500987,75.5957519641622
29-oct,13.9841219608216,90.946882068495
30-oct,12.8563083854924,75.5929876120629
31-oct,10.369486193607,83.2005948865548
01-nov,9.86302044281256,77.9001045438606
02-nov,13.5516981659629,93.8535005149282
03-nov,11.3234339180633,95.1567809380507
04-nov,7.92644159979327,75.1417780356392
05-nov,11.8542137326515,77.3857091383065
06-nov,9.75967705800912,76.3221167137074
07-nov,8.57552837876187,89.8751159560042
08-nov,8.88691827637708,75.7276912790974
09-nov,9.58502455180882,85.613286037057
10-nov,11.6948965160252,85.1257577100628
11-nov,7.97837303657805,74.9040557286441
12-nov,7.78167581455141,83.6763440681041
13-nov,8.01186629847419,77.7569112766786
14-nov,10.700764506182,84.8663127816129
15-nov,9.31607365297924,77.3469210411582
16-nov,6.98599857964365,74.8776762250002
17-nov,5.41999498043016,78.8589951499208
18-nov,9.6013846031697,89.8718330720631
19-nov,7.3019716279588,79.1856759695662
20-nov,5.93236433584707,85.2306999856706
21-nov,5.86342267236826,83.8791531423766
22-nov,2.74030719522741,99.4714840558614
23-nov,3.41528003173759,98.0720169410064
24-nov,6.7942543573637,69.766021872159
25-nov,3.81062791104287,78.4774960407814
26-nov,6.12377981448972,77.6625429914924
27-nov,4.4464851311803,91.9568500590968
28-nov,3.53681302419131,88.8623820110976
29-nov,8.61275487755449,98.3209032447607
30-nov,8.42272160958091,96.1884404484799
